team1,team2,winner,margin,matchDate,match_id
Super Kings,Titans,Titans,5 wickets,"Mar 31, 2023",T205274
Punjab Kings,KKR,Punjab Kings,7 runs,"Apr 1, 2023",T207733
Super Giants,Capitals,Super Giants,50 runs,"Apr 1, 2023",T203391
Royals,Sunrisers,Royals,72 runs,"Apr 2, 2023",T204662
Mumbai,RCB,RCB,8 wickets,"Apr 2, 2023",T204410
Super Kings,Super Giants,Super Kings,12 runs,"Apr 3, 2023",T207290
Capitals,Titans,Titans,6 wickets,"Apr 4, 2023",T206559
Punjab Kings,Royals,Punjab Kings,5 runs,"Apr 5, 2023",T203806
KKR,RCB,KKR,81 runs,"Apr 6, 2023",T204417
Sunrisers,Super Giants,Super Giants,5 wickets,"Apr 7, 2023",T203547
Royals,Capitals,Royals,57 runs,"Apr 8, 2023",T203342
Mumbai,Super Kings,Super Kings,7 wickets,"Apr 8, 2023",T208306
Titans,KKR,KKR,3 wickets,"Apr 9, 2023",T203927
Punjab Kings,Sunrisers,Sunrisers,8 wickets,"Apr 9, 2023",T208249
RCB,Super Giants,Super Giants,1 wicket,"Apr 10, 2023",T203357
Capitals,Mumbai,Mumbai,6 wickets,"Apr 11, 2023",T202058
Royals,Super Kings,Royals,3 runs,"Apr 12, 2023",T203450
Punjab Kings,Titans,Titans,6 wickets,"Apr 13, 2023",T208318
Sunrisers,KKR,Sunrisers,23 runs,"Apr 14, 2023",T202532
RCB,Capitals,RCB,23 runs,"Apr 15, 2023",T207991
Super Giants,Punjab Kings,Punjab Kings,2 wickets,"Apr 15, 2023",T204901
KKR,Mumbai,Mumbai,5 wickets,"Apr 16, 2023",T203876
Titans,Royals,Royals,3 wickets,"Apr 16, 2023",T202106
Super Kings,RCB,Super Kings,8 runs,"Apr 17, 2023",T207821
Mumbai,Sunrisers,Mumbai,14 runs,"Apr 18, 2023",T208353
Super Giants,Royals,Super Giants,10 runs,"Apr 19, 2023",T208785
RCB,Punjab Kings,RCB,24 runs,"Apr 20, 2023",T206323
KKR,Capitals,Capitals,4 wickets,"Apr 20, 2023",T201404
Sunrisers,Super Kings,Super Kings,7 wickets,"Apr 21, 2023",T209492
Titans,Super Giants,Titans,7 runs,"Apr 22, 2023",T201038
Punjab Kings,Mumbai,Punjab Kings,13 runs,"Apr 22, 2023",T205955
RCB,Royals,RCB,7 runs,"Apr 23, 2023",T208050
Super Kings,KKR,Super Kings,49 runs,"Apr 23, 2023",T208630
Capitals,Sunrisers,Capitals,7 runs,"Apr 24, 2023",T201505
Titans,Mumbai,Titans,55 runs,"Apr 25, 2023",T209782
KKR,RCB,KKR,21 runs,"Apr 26, 2023",T203039
Royals,Super Kings,Royals,32 runs,"Apr 27, 2023",T204320
Super Giants,Punjab Kings,Super Giants,56 runs,"Apr 28, 2023",T202948
KKR,Titans,Titans,7 wickets,"Apr 29, 2023",T208384
Sunrisers,Capitals,Sunrisers,9 runs,"Apr 29, 2023",T208709
Super Kings,Punjab Kings,Punjab Kings,4 wickets,"Apr 30, 2023",T205766
Royals,Mumbai,Mumbai,6 wickets,"Apr 30, 2023",T204998
RCB,Super Giants,RCB,18 runs,"May 1, 2023",T203741
Capitals,Titans,Capitals,5 runs,"May 2, 2023",T202829
Punjab Kings,Mumbai,Mumbai,6 wickets,"May 3, 2023",T205538
KKR,Sunrisers,KKR,5 runs,"May 4, 2023",T204127
Royals,Titans,Titans,9 wickets,"May 5, 2023",T209787
Mumbai,Super Kings,Super Kings,6 wickets,"May 6, 2023",T201150
RCB,Capitals,Capitals,7 wickets,"May 6, 2023",T204969
Titans,Super Giants,Titans,56 runs,"May 7, 2023",T204882
Royals,Sunrisers,Sunrisers,4 wickets,"May 7, 2023",T202091
Punjab Kings,KKR,KKR,5 wickets,"May 8, 2023",T205835
RCB,Mumbai,Mumbai,6 wickets,"May 9, 2023",T207753
Super Kings,Capitals,Super Kings,27 runs,"May 10, 2023",T209716
KKR,Royals,Royals,9 wickets,"May 11, 2023",T209254
Mumbai,Titans,Mumbai,27 runs,"May 12, 2023",T209868
Sunrisers,Super Giants,Super Giants,7 wickets,"May 13, 2023",T204056
Punjab Kings,Capitals,Punjab Kings,31 runs,"May 13, 2023",T205679
RCB,Royals,RCB,112 runs,"May 14, 2023",T204222
Super Kings,KKR,KKR,6 wickets,"May 14, 2023",T201479
Titans,Sunrisers,Titans,34 runs,"May 15, 2023",T203760
Super Giants,Mumbai,Super Giants,5 runs,"May 16, 2023",T209829
Capitals,Punjab Kings,Capitals,15 runs,"May 17, 2023",T206208
Sunrisers,RCB,RCB,8 wickets,"May 18, 2023",T209543
Punjab Kings,Royals,Royals,4 wickets,"May 19, 2023",T202827
Super Kings,Capitals,Super Kings,77 runs,"May 20, 2023",T203140
Super Giants,KKR,Super Giants,1 run,"May 20, 2023",T203175
Sunrisers,Mumbai,Mumbai,8 wickets,"May 21, 2023",T201855
RCB,Titans,Titans,6 wickets,"May 21, 2023",T205366
Super Kings,Titans,Super Kings,15 runs,"May 23, 2023",T203271
Mumbai,Super Giants,Mumbai,81 runs,"May 24, 2023",T207210
Titans,Mumbai,Titans,62 runs,"May 26, 2023",T201090
Titans,Super Kings,Super Kings,5 wickets,"May 29, 2023",T202039
