team1,team2,winner,margin,matchDate,scorecard_link
Super Kings,Titans,Titans,5 wickets,"Mar 31, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-1st-match-1359475/full-scorecard
Punjab Kings,KKR,Punjab Kings,7 runs,"Apr 1, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476/full-scorecard
Super Giants,Capitals,Super Giants,50 runs,"Apr 1, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-delhi-capitals-3rd-match-1359477/full-scorecard
Royals,Sunrisers,Royals,72 runs,"Apr 2, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1359478/full-scorecard
Mumbai,RCB,RCB,8 wickets,"Apr 2, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-mumbai-indians-5th-match-1359479/full-scorecard
Super Kings,Super Giants,Super Kings,12 runs,"Apr 3, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480/full-scorecard
Capitals,Titans,Titans,6 wickets,"Apr 4, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-gujarat-titans-7th-match-1359481/full-scorecard
Punjab Kings,Royals,Punjab Kings,5 runs,"Apr 5, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-punjab-kings-8th-match-1359482/full-scorecard
KKR,RCB,KKR,81 runs,"Apr 6, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-1359483/full-scorecard
Sunrisers,Super Giants,Super Giants,5 wickets,"Apr 7, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-1359484/full-scorecard
Royals,Capitals,Royals,57 runs,"Apr 8, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-delhi-capitals-11th-match-1359485/full-scorecard
Mumbai,Super Kings,Super Kings,7 wickets,"Apr 8, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-chennai-super-kings-12th-match-1359486/full-scorecard
Titans,KKR,KKR,3 wickets,"Apr 9, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487/full-scorecard
Punjab Kings,Sunrisers,Sunrisers,8 wickets,"Apr 9, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488/full-scorecard
RCB,Super Giants,Super Giants,1 wicket,"Apr 10, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-lucknow-super-giants-15th-match-1359489/full-scorecard
Capitals,Mumbai,Mumbai,6 wickets,"Apr 11, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-mumbai-indians-16th-match-1359490/full-scorecard
Royals,Super Kings,Royals,3 runs,"Apr 12, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-rajasthan-royals-17th-match-1359491/full-scorecard
Punjab Kings,Titans,Titans,6 wickets,"Apr 13, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-gujarat-titans-18th-match-1359492/full-scorecard
Sunrisers,KKR,Sunrisers,23 runs,"Apr 14, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-sunrisers-hyderabad-19th-match-1359493/full-scorecard
RCB,Capitals,RCB,23 runs,"Apr 15, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-delhi-capitals-20th-match-1359494/full-scorecard
Super Giants,Punjab Kings,Punjab Kings,2 wickets,"Apr 15, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-punjab-kings-21st-match-1359495/full-scorecard
KKR,Mumbai,Mumbai,5 wickets,"Apr 16, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-kolkata-knight-riders-22nd-match-1359496/full-scorecard
Titans,Royals,Royals,3 wickets,"Apr 16, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-rajasthan-royals-23rd-match-1359497/full-scorecard
Super Kings,RCB,Super Kings,8 runs,"Apr 17, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1359498/full-scorecard
Mumbai,Sunrisers,Mumbai,14 runs,"Apr 18, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-mumbai-indians-25th-match-1359499/full-scorecard
Super Giants,Royals,Super Giants,10 runs,"Apr 19, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-lucknow-super-giants-26th-match-1359500/full-scorecard
RCB,Punjab Kings,RCB,24 runs,"Apr 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-royal-challengers-bangalore-27th-match-1359501/full-scorecard
KKR,Capitals,Capitals,4 wickets,"Apr 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-kolkata-knight-riders-28th-match-1359502/full-scorecard
Sunrisers,Super Kings,Super Kings,7 wickets,"Apr 21, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-sunrisers-hyderabad-29th-match-1359503/full-scorecard
Titans,Super Giants,Titans,7 runs,"Apr 22, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-gujarat-titans-30th-match-1359504/full-scorecard
Punjab Kings,Mumbai,Punjab Kings,13 runs,"Apr 22, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-punjab-kings-31st-match-1359505/full-scorecard
RCB,Royals,RCB,7 runs,"Apr 23, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-rajasthan-royals-32nd-match-1359506/full-scorecard
Super Kings,KKR,Super Kings,49 runs,"Apr 23, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-chennai-super-kings-33rd-match-1359507/full-scorecard
Capitals,Sunrisers,Capitals,7 runs,"Apr 24, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-delhi-capitals-34th-match-1359508/full-scorecard
Titans,Mumbai,Titans,55 runs,"Apr 25, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-mumbai-indians-35th-match-1359509/full-scorecard
KKR,RCB,KKR,21 runs,"Apr 26, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-kolkata-knight-riders-36th-match-1359510/full-scorecard
Royals,Super Kings,Royals,32 runs,"Apr 27, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-chennai-super-kings-37th-match-1359511/full-scorecard
Super Giants,Punjab Kings,Super Giants,56 runs,"Apr 28, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-lucknow-super-giants-38th-match-1359512/full-scorecard
KKR,Titans,Titans,7 wickets,"Apr 29, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-gujarat-titans-39th-match-1359513/full-scorecard
Sunrisers,Capitals,Sunrisers,9 runs,"Apr 29, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-sunrisers-hyderabad-40th-match-1359514/full-scorecard
Super Kings,Punjab Kings,Punjab Kings,4 wickets,"Apr 30, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-punjab-kings-41st-match-1359515/full-scorecard
Royals,Mumbai,Mumbai,6 wickets,"Apr 30, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-rajasthan-royals-42nd-match-1359516/full-scorecard
RCB,Super Giants,RCB,18 runs,"May 1, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517/full-scorecard
Capitals,Titans,Capitals,5 runs,"May 2, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-delhi-capitals-44th-match-1359518/full-scorecard
Punjab Kings,Mumbai,Mumbai,6 wickets,"May 3, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-mumbai-indians-46th-match-1359520/full-scorecard
KKR,Sunrisers,KKR,5 runs,"May 4, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-kolkata-knight-riders-47th-match-1359521/full-scorecard
Royals,Titans,Titans,9 wickets,"May 5, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-gujarat-titans-48th-match-1359522/full-scorecard
Mumbai,Super Kings,Super Kings,6 wickets,"May 6, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-mumbai-indians-49th-match-1359523/full-scorecard
RCB,Capitals,Capitals,7 wickets,"May 6, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524/full-scorecard
Titans,Super Giants,Titans,56 runs,"May 7, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-lucknow-super-giants-51st-match-1359525/full-scorecard
Royals,Sunrisers,Sunrisers,4 wickets,"May 7, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-sunrisers-hyderabad-52nd-match-1359526/full-scorecard
Punjab Kings,KKR,KKR,5 wickets,"May 8, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527/full-scorecard
RCB,Mumbai,Mumbai,6 wickets,"May 9, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528/full-scorecard
Super Kings,Capitals,Super Kings,27 runs,"May 10, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-delhi-capitals-55th-match-1359529/full-scorecard
KKR,Royals,Royals,9 wickets,"May 11, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530/full-scorecard
Mumbai,Titans,Mumbai,27 runs,"May 12, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-gujarat-titans-57th-match-1359531/full-scorecard
Sunrisers,Super Giants,Super Giants,7 wickets,"May 13, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532/full-scorecard
Punjab Kings,Capitals,Punjab Kings,31 runs,"May 13, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-punjab-kings-59th-match-1359533/full-scorecard
RCB,Royals,RCB,112 runs,"May 14, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-royal-challengers-bangalore-60th-match-1359534/full-scorecard
Super Kings,KKR,KKR,6 wickets,"May 14, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-kolkata-knight-riders-61st-match-1359535/full-scorecard
Titans,Sunrisers,Titans,34 runs,"May 15, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-sunrisers-hyderabad-62nd-match-1359536/full-scorecard
Super Giants,Mumbai,Super Giants,5 runs,"May 16, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-63rd-match-1359537/full-scorecard
Capitals,Punjab Kings,Capitals,15 runs,"May 17, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-delhi-capitals-64th-match-1359538/full-scorecard
Sunrisers,RCB,RCB,8 wickets,"May 18, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-royal-challengers-bangalore-65th-match-1359539/full-scorecard
Punjab Kings,Royals,Royals,4 wickets,"May 19, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-rajasthan-royals-66th-match-1359540/full-scorecard
Super Kings,Capitals,Super Kings,77 runs,"May 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-chennai-super-kings-67th-match-1359541/full-scorecard
Super Giants,KKR,Super Giants,1 run,"May 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542/full-scorecard
Sunrisers,Mumbai,Mumbai,8 wickets,"May 21, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543/full-scorecard
RCB,Titans,Titans,6 wickets,"May 21, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-gujarat-titans-70th-match-1359544/full-scorecard
Super Kings,Titans,Super Kings,15 runs,"May 23, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-gujarat-titans-qualifier-1-1370350/full-scorecard
Mumbai,Super Giants,Mumbai,81 runs,"May 24, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-eliminator-1370351/full-scorecard
Titans,Mumbai,Titans,62 runs,"May 26, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-mumbai-indians-qualifier-2-1370352/full-scorecard
Titans,Super Kings,Super Kings,5 wickets,"May 29, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-final-1370353/full-scorecard
